,101391.json,102667.json,103942.json,104788.json,107333.json,109482.json,110975.json,117959.json,122295.json,123023.json,123309.json,125085.json,127170.json,131870.json,145097.json,153102.json,157344.json,158382.json,161063.json,161695.json,161718.json,164710.json,165723.json,168420.json,186006.json,194712.json,194717.json,200080.json,204029.json,204705.json,211789.json,216107.json,2164.json,217398.json,252096.json,253369.json,264858.json,265222.json,265454.json,265528.json,284473.json,29582.json,296871.json,35671.json,35939.json,383367.json,385323.json,4170.json,51508.json,51586.json,51968.json,54862.json,55246.json,5945.json,61640.json,61646.json,63441.json,64135.json,64847.json,66545.json,66568.json,67625.json,6874.json,69568.json,78078.json,78383.json,79591.json,84725.json,87441.json,934.json,95794.json,97680.json,98206.json,98299.json,98373.json,Arrosage.pdf,Croissance et Développement.pdf,Cycle de Vie.pdf,L'Humidité Ambiante.pdf,La Température et le Climat.pdf,Le Drainage et l'Aération du Sol.pdf,Le Rempotage et le Surfaçage des Plantes.pdf,Luminosité .pdf,Maladies Fongiques.pdf,Nutrition Végétale et les Engrais.pdf,Origine Géographique et Biomes.pdf,Parasites Courants.pdf,Plantation.pdf,Propagation et Reproduction Végétale.pdf,Stress Hydrique _ Thermique _ Lumineux.pdf,Taille et Élagage Végétal.pdf,Technologies Horticoles Modernes.pdf,Toxicité Végétale.pdf,Types de Sol.pdf,pH du Sol .pdf
de,0.08799093750613035,0.10408282747283533,0.07916980830291499,0.0858135636670964,0.0858135636670964,0.10307075748149708,0.09910424599419591,0.08692947911334102,0.09424962827828173,0.0890030074974686,0.10254650123426574,0.09646396997922005,0.09971711980385754,0.11046477965967885,0.10031320041971276,0.08692947911334102,0.08067078834118965,0.10031320041971276,0.0890030074974686,0.09178409682925523,0.09089599060064217,0.08463729982849082,0.08463729982849082,0.0858135636670964,0.08067078834118965,0.08692947911334102,0.09345842903170619,0.0858135636670964,0.08339378529801601,0.10200929908870773,0.09847360527338275,0.08463729982849082,0.08997008144071744,0.07755754627522438,0.0858135636670964,0.10408282747283533,0.08463729982849082,0.09345842903170619,0.09263736625059109,0.10307075748149708,0.10307075748149708,0.08799093750613035,0.08207486139742681,0.09501306034623662,0.09424962827828173,0.08339378529801601,0.10031320041971276,0.10031320041971276,0.0858135636670964,0.08207486139742681,0.08207486139742681,0.09263736625059109,0.09847360527338275,0.09501306034623662,0.09501306034623662,0.0957506083165564,0.0890030074974686,0.08799093750613035,0.10686391680462196,0.08339378529801601,0.08207486139742681,0.0957506083165564,0.09646396997922005,0.11154378995458678,0.09424962827828173,0.0858135636670964,0.09910424599419591,0.0957506083165564,0.08692947911334102,0.08207486139742681,0.08997008144071744,0.09910424599419591,0.10031320041971276,0.10200929908870773,0.09263736625059109,0.09715468137279355,0.10597581057600891,0.10408282747283533,0.09646396997922005,0.11154378995458678,0.11625759435369024,0.11046477965967885,0.10457173751977175,0.10504990141608417,0.10771718622595783,0.08997008144071744,0.10200929908870773,0.11597320361782985,0.11290395667605069,0.10457173751977175,0.11509702152297432,0.10853824900707292,0.10813159078399372,0.10813159078399372,0.09646396997922005
cultivé,0.0,0.18104474145014027,0.3799427192060051,0.0,0.0,0.0,0.0,0.0,0.0,0.4320260456328783,0.505433371297374,0.0,0.0,0.0,0.0,0.3799427192060051,0.18104474145014027,0.0,0.18104474145014027,0.3799427192060051,0.3799427192060051,0.30653539354150927,0.18104474145014027,0.18104474145014027,0.3799427192060051,0.3799427192060051,0.0,0.4320260456328783,0.30653539354150927,0.0,0.4320260456328783,0.18104474145014027,0.30653539354150927,0.3799427192060051,0.0,0.18104474145014027,0.3799427192060051,0.0,0.30653539354150927,0.4724250121868255,0.3799427192060051,0.0,0.18104474145014027,0.18104474145014027,0.18104474145014027,0.0,0.0,0.30653539354150927,0.0,0.3799427192060051,0.30653539354150927,0.30653539354150927,0.0,0.0,0.0,0.0,0.18104474145014027,0.4320260456328783,0.30653539354150927,0.0,0.0,0.18104474145014027,0.3799427192060051,0.3799427192060051,0.3799427192060051,0.0,0.0,0.0,0.18104474145014027,0.0,0.0,0.3799427192060051,0.3799427192060051,0.18104474145014027,0.18104474145014027,0.0,0.0,0.18104474145014027,0.0,0.18104474145014027,0.0,0.18104474145014027,0.30653539354150927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gingembre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4433308243832275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9462150531020284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vert,0.0,0.2321835245974093,0.2321835245974093,0.1371313299063719,0.1371313299063719,0.2321835245974093,0.1371313299063719,0.0,0.1371313299063719,0.0,0.1371313299063719,0.0,0.28778549410291276,0.0,0.2321835245974093,0.1371313299063719,0.0,0.28778549410291276,0.1371313299063719,0.1371313299063719,0.2321835245974093,0.2321835245974093,0.0,0.28778549410291276,0.2321835245974093,0.1371313299063719,0.0,0.2321835245974093,0.0,0.3272357192884467,0.1371313299063719,0.1371313299063719,0.0,0.2321835245974093,0.2321835245974093,0.3272357192884467,0.1371313299063719,0.3272357192884467,0.0,0.1371313299063719,0.1371313299063719,0.1371313299063719,0.2321835245974093,0.1371313299063719,0.2321835245974093,0.0,0.0,0.28778549410291276,0.0,0.0,0.2321835245974093,0.0,0.3272357192884467,0.0,0.1371313299063719,0.2321835245974093,0.1371313299063719,0.1371313299063719,0.2321835245974093,0.28778549410291276,0.1371313299063719,0.1371313299063719,0.0,0.0,0.0,0.1371313299063719,0.3272357192884467,0.1371313299063719,0.2321835245974093,0.0,0.2321835245974093,0.28778549410291276,0.2321835245974093,0.1371313299063719,0.1371313299063719,0.0,0.0,0.0,0.0,0.0,0.1371313299063719,0.0,0.28778549410291276,0.0,0.3272357192884467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1371313299063719
chine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49392145644704233,0.0,0.0,0.0,0.49392145644704233,0.0,0.0,0.0,0.0,0.49392145644704233,0.0,0.49392145644704233,0.0,0.0,0.0,0.0,1.0365496381366137,0.0,0.0,0.0,0.0,0.0,0.49392145644704233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49392145644704233,0.0,0.8362817214013716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49392145644704233,0.0,0.0,0.0,0.0,0.49392145644704233,0.0,0.0,0.0,0.0,0.49392145644704233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inde,0.0,0.4271474407501692,0.0,0.0,0.7232234849895453,0.0,0.0,0.0,0.0,0.0,0.4271474407501692,0.4271474407501692,0.0,1.1146147260926902,0.0,0.0,0.0,0.0,0.8964168682314385,0.0,0.4271474407501692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7232234849895453,0.0,0.0,0.0,0.0,0.4271474407501692,0.0,0.0,0.0,0.0,0.8964168682314385,0.0,0.0,1.0192995292289213,0.0,0.0,0.4271474407501692,0.0,0.0,0.4271474407501692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4271474407501692,0.0,0.0,0.0,0.7232234849895453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1924929124708143,0.0,0.4271474407501692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fréquent,0.0,0.0,0.0,0.0,0.4042521926631679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4042521926631679,0.0,0.0,0.0,0.4042521926631679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4042521926631679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4042521926631679,0.0,0.0,0.0,0.0,0.6844584602428186,0.0,0.0,0.6844584602428186,0.0,0.0,0.0,0.0,0.0,0.4042521926631679,0.0,0.0,0.6844584602428186,0.4042521926631679,0.4042521926631679,0.6844584602428186,0.6844584602428186,0.4042521926631679,0.0,0.0,0.6844584602428186,0.4042521926631679,0.0
plein,0.07517401024175774,0.07517401024175774,0.07517401024175774,0.07517401024175774,0.0,0.12728066349221656,0.12728066349221656,0.15776110168181515,0.12728066349221656,0.12728066349221656,0.07517401024175774,0.07517401024175774,0.12728066349221656,0.07517401024175774,0.12728066349221656,0.12728066349221656,0.07517401024175774,0.12728066349221656,0.07517401024175774,0.12728066349221656,0.07517401024175774,0.0,0.12728066349221656,0.12728066349221656,0.07517401024175774,0.12728066349221656,0.07517401024175774,0.07517401024175774,0.12728066349221656,0.12728066349221656,0.12728066349221656,0.12728066349221656,0.12728066349221656,0.07517401024175774,0.15776110168181515,0.07517401024175774,0.07517401024175774,0.0,0.12728066349221656,0.07517401024175774,0.07517401024175774,0.07517401024175774,0.07517401024175774,0.12728066349221656,0.07517401024175774,0.07517401024175774,0.07517401024175774,0.12728066349221656,0.07517401024175774,0.12728066349221656,0.12728066349221656,0.12728066349221656,0.1793873167426754,0.07517401024175774,0.12728066349221656,0.12728066349221656,0.12728066349221656,0.12728066349221656,0.15776110168181515,0.15776110168181515,0.15776110168181515,0.07517401024175774,0.12728066349221656,0.07517401024175774,0.12728066349221656,0.12728066349221656,0.12728066349221656,0.07517401024175774,0.07517401024175774,0.07517401024175774,0.12728066349221656,0.12728066349221656,0.12728066349221656,0.07517401024175774,0.12728066349221656,0.12728066349221656,0.0,0.0,0.0,0.12728066349221656,0.0,0.0,0.2214558797163822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
