,concept_1,concept_2,concept_3,concept_4,concept_5,concept_6,concept_7,concept_8,concept_9,concept_10,concept_11,concept_12,concept_13,concept_14,concept_15,concept_16,concept_17,concept_18,concept_19,concept_20,concept_21,concept_22,concept_23,concept_24,concept_25,concept_26,concept_27,concept_28,concept_29,concept_30
161718.json,0.05072470346972804,-0.09308667573149997,-0.05412846908867463,0.01260632640005967,-0.0013242230402253662,-0.0062968005224097266,-0.039409644981508715,-0.007281469766632258,0.020467087873458148,-0.008088547399677978,-0.04913542190484402,0.019426674503229924,-0.0029565525046463545,-0.0018629008037921936,-0.013809071146755076,0.04350225245439019,0.05053476869024571,-0.053566472281599616,-0.0037625225471656937,-0.08641380302375753,0.009132326411491141,0.0061817246839655435,0.0018881982813667858,-0.027850617469328775,-0.013919097117949846,-0.07918243635806481,-0.05971494088220588,-0.034098766217824886,0.04210821501538856,-0.00557558137734575
164710.json,0.03438206480250835,-0.06625028407745616,-0.03664713876254832,0.006883160220894625,0.01269595260750797,0.005107786976726304,-0.023051585532059236,0.006830707576224499,0.00962823155770996,0.004193024532225362,-0.03975788072447361,0.025754330221669595,-0.009986986310247824,-0.014451967158944977,-0.010365980036043953,-0.04226033885565316,-0.02471822175112298,-0.008411848592411996,0.01609511385223419,-0.07659382270906798,0.03170326007949086,0.004588945139218094,0.041802364951763704,0.020099586651263067,0.016137500943795565,-0.0025953374325904327,-0.04802009978059927,0.002282382910547965,-0.0746510073669252,-0.04067931673014295
165723.json,0.04543790085768076,-0.09961407552969485,-0.057447367985364615,0.01642916856260105,0.008803409481380028,0.017599579854614186,-0.04022189767165024,0.025961425304344705,0.01812605723846765,0.021320052207116462,-0.040454228185074374,0.04930561470250411,-0.005706541137640079,0.0016750923277635704,-0.006664900110752824,-0.0765215747584847,-0.018781056195632986,0.026469934321041232,0.0034267113680838245,-0.03497334294767893,0.012122562614552497,0.0628176606145015,-0.008723482739129176,0.010407043897541267,0.005389870076892883,-0.010740972572486974,-0.01937099781679842,0.0885638907760582,-0.031340621093686405,-0.04386842556734739
168420.json,0.03676905547946929,-0.07258365713659498,-0.034513839138581554,3.480575924211524e-05,0.009946862195212567,0.023806839620444345,-0.027439400499910935,-0.0069421352367435105,0.009325418169598608,-0.022464026026961285,-0.001659048859757241,-0.020837878588667407,0.011630550032832618,0.004060862414345993,-0.0022338153114779013,0.06827377332315517,0.1024575306581662,-0.032589462325050216,-0.03520841285123884,0.04950577148179855,-0.03636328870674622,-0.024986071970191166,-0.11415919404383783,-0.04850811170436326,-0.02836364019275035,-0.04685031659653209,-0.029316150359170342,-0.06700894533423774,-0.03320947802849292,0.009725182057043617
186006.json,0.03155766798257977,-0.07113895229636479,-0.03987679618654108,0.015228748938004745,0.009405674232101955,0.005222226318668591,-0.027747996400650007,0.01754802916157942,0.014654755109772674,0.003728392782473742,-0.0446762184985307,0.028373993745903426,-0.0013835712423630046,0.002685744046027933,-0.0011644939153264507,-0.04162614117757387,-0.009918630000518966,0.01537835737366829,0.004504587963914261,-0.007869024356603624,-0.0188429012667379,0.024450043427658295,-0.015915429515473017,0.013204476649511921,0.0221286049779084,-0.020119357316284534,-0.012925356476679998,0.05703319086159508,0.0016702750766141453,-0.06452783999873256
194712.json,0.03162097241704536,-0.046375021040700626,-0.02616384880028678,-0.005057303668391762,0.0007263248963200002,0.004892287321996132,-0.019033660144343604,-0.0011697998738378003,0.010602715362090755,-0.0015637687603466172,-0.023948713409202377,-0.00032830753789669454,0.0030593858590899177,-0.0007821166608128301,-0.00796570449475642,0.02112138169800822,0.027791065481498116,-0.01882107191490713,0.010014801950758486,-0.011101207272785523,-0.0034499667439468716,0.008711373345316806,0.015047617656636777,-0.020270894122161605,-0.0004749181150305719,-0.016235537455392798,-0.038359843422963065,-0.026411287757790773,-0.012296662797022863,-0.029974735849959827
194717.json,0.026017291014764205,-0.05979301422549317,-0.024145880326021187,0.009901450721224116,0.0011348100590413556,0.009429852786068109,-0.02057810581529724,0.0074538730678127205,0.015272229666307986,-0.0055109049968432595,-0.008399059057560339,0.010588347517547456,-3.947487754882161e-06,-0.0010812656826642037,-0.010056773356855881,0.0012051933450942154,-0.019132327260295602,0.0064661264678245916,0.020344294111332182,-0.008919664863244133,0.007670607412138991,0.031130754287169632,0.018026091488127702,-0.00020859826063806235,-0.009859491278718512,-0.00298056848450413,-0.026082743959205516,0.006788742299393884,-0.00435042686342257,-0.026092891770209597
200080.json,0.03963799271470819,-0.07274728589669424,-0.045349255420103735,0.00426632637624048,0.0015121626510578487,0.009770232135765352,-0.0375107184242822,0.01957005199495922,0.01753372154552137,0.003153734521474942,-0.03877017404788481,0.04211453883098048,-0.004600803444826263,-0.012861394672447799,0.004435488026704311,-0.04632975178778307,-0.005031415481249807,0.016403813581185228,0.042079904439859435,-0.014133250656041407,-0.05362432281423787,0.03271607296780518,-0.01838173252502298,0.020208631983127737,0.0439326014182254,-0.04681655380572814,-0.03404987748288513,0.10733898856226867,0.008175889225826275,-0.0324416725528623
204029.json,0.02908947496041924,-0.06027528287459623,-0.02713340853895442,0.0028341817000516146,-0.0018805738853305476,0.006071065136371791,-0.014130420175783934,0.008411662412468924,0.017870860636286127,-0.003601440266891407,-0.030516046980734225,0.01126805469836646,0.0028172217538422737,-0.011979692250113564,-0.005144265749933141,-0.03603813724003882,-0.014298313120318136,-0.003219158713469521,0.010284447154782588,-0.05304906831771376,0.011582843965681908,0.018768831616520095,0.028667394063058457,0.05304039995065716,-0.021100750721496416,0.007391627377301894,-0.040119617181447874,0.017427453544067405,0.00163075560974765,-0.026052962499534114
204705.json,0.07251941353356639,-0.132818178903494,-0.08165931745791118,0.0371303400074325,0.031194640827658503,0.02464933528922469,0.01672497627132868,0.04994497826324151,-0.07460786693329004,0.13888562634729748,0.08610086934396297,-0.027138435772895337,-0.11372352029681448,0.019816243561272106,-0.025935604938154548,0.279866182070793,-0.44734577602205455,-0.0484886253529077,0.5378301865472763,-0.10740151664324446,-0.40003897638010716,-0.2664559704272221,-0.0288570800002318,-0.09795245113987744,-0.09766237534342465,0.15461539858290294,-0.07275328192810578,-0.026045259680119944,-0.003507207892555794,0.087708993758799
